FUNCTIONS,,LABELLER A,LABELLER B,FULL MATCH,PARTIAL MATCH,CONTRADICTION,DISAGREEMENT,FINAL
android.accounts.AccountManager.addAccount,,Personal info,Personal info,1,,,,Personal info
android.accounts.AccountManager.getAccounts,,Personal info,Personal info,1,,,,Personal info
android.accounts.AccountManager.getAccountsByType,,Personal info,Personal info,1,,,,Personal info
android.accounts.AccountManager.getAccountsByTypeAndFeatures,,Personal info,Personal info,1,,,,Personal info
android.accounts.AccountManager.getAccountsByTypeForPackage,,Personal info,Personal info,1,,,,Personal info
android.accounts.AccountManager.getAuthToken,,Personal info,Personal info,1,,,,Personal info
android.accounts.AccountManager.getPassword,,Personal info,Personal info,1,,,,Personal info
android.accounts.AccountManager.getPreviousName,,"Personal info, Name",Personal info,0,1,,,Personal info
android.accounts.AccountManager.getUserData,,Personal info,Personal info,1,,,,Personal info
android.accounts.AccountManager.setPassword,,Personal info,Personal info,1,,,,Personal info
android.accounts.AccountManager.setUserData,,Personal info,Personal info,1,,,,Personal info
android.app.ActivityManager.getRecentTasks,,none,"App activity, Personal info",0,,1,,App activity
android.app.ActivityManager.getRunningAppProcesses,,none,"App activity, Personal info",0,,1,,App activity
android.app.ActivityManager.getRunningTasks,,none,"App activity, Personal info",0,,1,,App activity
android.app.ActivityManager.killBackgroundProcesses,,none,none,1,,,,
android.app.AlarmManager.set,,none,none,1,,,,
android.app.AlarmManager.setAlarmClock,,none,none,1,,,,
android.app.AlarmManager.setExact,,none,none,1,,,,
android.app.AlarmManager.setExactAndAllowWhileIdle,,none,none,1,,,,
android.app.AppOpsManager.startWatchingMode,,"App info and performance, Diagnostics",App info and performance,0,1,,,"App info and performance, Diagnostics"
android.app.AppOpsManager.startWatchingStarted,,"App info and performance, Diagnostics",App info and performance,0,1,,,"App info and performance, Diagnostics"
android.app.backup.BackupManager.dataChanged,,none,none,1,,,,
android.app.compat.CompatChanges.isChangeEnabled,,none,none,1,,,,
android.app.GameManager.isAngleEnabled,,none,App info and performance,0,,1,,
android.app.job.JobInfo$Builder.setPersisted,,none,none,1,,,,
android.app.JobSchedulerImpl.schedule,,none,none,1,,,,
android.app.KeyguardManager$KeyguardLock.disableKeyguard,,none,none,1,,,,
android.app.KeyguardManager$KeyguardLock.reenableKeyguard,,none,none,1,,,,
android.app.KeyguardManager.requestDismissKeyguard,,none,none,1,,,,
android.app.Service.stopSelf,,none,none,1,,,,
android.app.Service.stopSelfResult,,none,none,1,,,,
android.app.usage.UsageStatsManager.getAppStandbyBucket,,none,App info and performance,0,,1,,App info and performance
android.app.WallpaperManager.getDrawable,,"Photos or videos, Photos, Files and docs","Photos or videos, Photos, Files and docs",1,,,,"Photos or videos, Photos, Files and docs"
android.app.WallpaperManager.setBitmap,,none,none,1,,,,
android.app.WallpaperManager.setResource,,none,none,1,,,,
android.app.WallpaperManager.suggestDesiredDimensions,,none,none,1,,,,
