Package Name,PIIS,Data Safety Labels
ai.replika.app,"DeviceName,BuildNumber",Device or other IDs
air.au.com.metro.DumbWaysToDie2,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
air.com.darkdome.nowhere.house,"DeviceName,BuildNumber",Device or other IDs
air.com.darkdome.unwanted.experiment,"DeviceName,BuildNumber",Device or other IDs
air.com.games2win.internationalfashionstylist,"DeviceName,BuildNumber",Device or other IDs
air.com.neon.games.WBT,"DeviceName,BuildNumber",Device or other IDs
air.com.readysquare.sckeys,"DeviceName,BuildNumber",Device or other IDs
air.com.sgn.cookiejam.gp,"DeviceName,BuildNumber",Device or other IDs
air.com.wizits.buddies,"DeviceName,BuildNumber",Device or other IDs
all.in.one.calculator,"DeviceName,BuildNumber",Device or other IDs
alpha.sticker.maker,"DeviceName,BuildNumber",Device or other IDs
altergames.carlauncher,"DeviceName,BuildNumber",Device or other IDs
app.feelsy,"BuildNumber,DeviceName",Device or other IDs
app.kids360.parent,"DeviceName,MCC+MNC,BuildNumber",Device or other IDs
app.sweepy.sweepy,"Surname,Email,Name","Personal info,Emails"
armworkout.armworkoutformen.armexercises,"DeviceName,BuildNumber",Device or other IDs
arproductions.andrew.worklog,"DeviceName,BuildNumber",Device or other IDs
at.nk.tools.iTranslate,"DeviceName,BuildNumber",Device or other IDs
au.com.shiftyjelly.pocketcasts,DeviceName,Device or other IDs
audio.sound.effect.bass.virtrualizer.equalizer,"DeviceName,BuildNumber",Device or other IDs
audio.volume.bass.booster.equalizer,"DeviceName,BuildNumber",Device or other IDs
audioeditor.musiceditor.soundeditor.songeditor,"DeviceName,BuildNumber",Device or other IDs
ball.sort.puzzle.color.sorting.bubble.games,"DeviceName,BuildNumber",Device or other IDs
bath.coupons.forbodyworks,"DeviceName,BuildNumber",Device or other IDs
bcom.rrdianshiase.table,"DeviceName,BuildNumber",Device or other IDs
beatmaker.edm.musicgames.gunsounds,"DeviceName,BuildNumber",Device or other IDs
beatmaker.edm.musicgames.PianoGames,"DeviceName,BuildNumber",Device or other IDs
beauty.selfiecamera.beautycam.youbeautymakeup,"DeviceName,BuildNumber",Device or other IDs
beetles.puzzle.solitaire,"DeviceName,BuildNumber",Device or other IDs
best.photo.app.manhairstyles2018,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
best.photo.app.mermaid,"DeviceName,BuildNumber",Device or other IDs
billiards.shooting.ball.games,"DeviceName,BuildNumber",Device or other IDs
block.puzzle.sudoku.free.game.classic.offline,"DeviceName,BuildNumber",Device or other IDs
blockpuzzle.game.block.puzzle,"DeviceName,BuildNumber",Device or other IDs
blockpuzzle.new1010.jewelgames.puzzlegames,"DeviceName,BuildNumber",Device or other IDs
bloodpressure.bloodpressureapppro.bloodpressureapp,"DeviceName,BuildNumber",Device or other IDs
bloodpressuremonitor.bloodpressureapp.bpmonitor,"DeviceName,BuildNumber",Device or other IDs
bodyfast.zero.fastingtracker.weightloss,"DeviceName,BuildNumber",Device or other IDs
bp.free.puzzle.game.mahjong.onet,"DeviceName,BuildNumber",Device or other IDs
br.com.rodrigokolb.realdrum,"DeviceName,BuildNumber",Device or other IDs
br.com.tapps.weareilluminati,"DeviceName,BuildNumber",Device or other IDs
breastenlarger.bodyeditor.photoeditor,"DeviceName,BuildNumber",Device or other IDs
bts.kpop.piano.music.tiles,"DeviceName,BuildNumber",Device or other IDs
buttocksworkout.hipsworkouts.forwomen.legworkout,"DeviceName,BuildNumber",Device or other IDs
camera.selfie.editor,"DeviceName,BuildNumber",Device or other IDs
candymanor.homedesign.match3,"DeviceName,BuildNumber",Device or other IDs
cc.forestapp,"DeviceName,BuildNumber",Device or other IDs
cc.relive.reliveapp,"DeviceName,BuildNumber",Device or other IDs
ch.protonmail.android,"DeviceName,BuildNumber",Device or other IDs
cn.fitdays.fitdays,"DeviceName,BuildNumber",Device or other IDs
co.blocksite,"DeviceName,BuildNumber",Device or other IDs
co.familykeeper.parents,"DeviceName,BuildNumber",Device or other IDs
co.happybits.marcopolo,"DeviceName,BuildNumber",Device or other IDs
co.peppertheapp.android,"DeviceName,BuildNumber",Device or other IDs
co.real.productionreal2,"DeviceName,BuildNumber,Latitude,Longitude","Device or other IDs,Location"
co.theguru.sch,"DeviceName,BuildNumber",Device or other IDs
co.vulcanlabs.printer,"BuildNumber,DeviceName",Device or other IDs
codematics.universal.tv.remote.control,"DeviceName,BuildNumber",Device or other IDs
com.aa.Car.Driving.GT.Stunts.Racing2,"DeviceName,BuildNumber",Device or other IDs
com.aadevelopers.volumebooster,"DeviceName,BuildNumber",Device or other IDs
com.abercrombie.hollister,"DeviceName,BuildNumber,Latitude,Longitude","Device or other IDs,Location"
com.abi.car.parking,"DeviceName,BuildNumber",Device or other IDs
com.abi.fnf.music.race3d,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.abi.robber.puzzle.thief,"DeviceName,BuildNumber",Device or other IDs
com.accurate.channel.forecast.live.weather,"DeviceName,BuildNumber",Device or other IDs
com.accurate.forecast.live.weather.channel,"DeviceName,BuildNumber",Device or other IDs
com.accurate.live.weather.forecast.pro,"DeviceName,BuildNumber",Device or other IDs
com.accurate.local.weather.forecast.live,"DeviceName,BuildNumber",Device or other IDs
com.accurate.weather.forecast.live,"DeviceName,BuildNumber",Device or other IDs
com.acmeaom.android.myradar,"DeviceName,BuildNumber",Device or other IDs
com.actionfit.blockocean1010,"DeviceName,BuildNumber",Device or other IDs
com.activision.callofduty.shooter,"DeviceName,BuildNumber",Device or other IDs
com.ADC.CargoParking,"DeviceName,BuildNumber",Device or other IDs
com.adc.HyperCards,"DeviceName,BuildNumber",Device or other IDs
com.adc.superhero,"DeviceName,BuildNumber",Device or other IDs
com.adobe.reader,"DeviceName,BuildNumber,Surname,Email,Name","Device or other IDs,Personal info,Emails"
com.adobe.scan.android,"DeviceName,BuildNumber,Surname,Email,Name,Google_Services_Framework_ID","Device or other IDs,Personal info,Emails"
com.adobe.spark.post,Email,Emails
com.adpdigital.mbs.ayande,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.advancedmobile.android.ghin,"DeviceName,BuildNumber",Device or other IDs
com.advant.streamer,"Surname,Name,Email","Personal info,Emails"
com.aetna.aetnahealth,"DeviceName,BuildNumber",Device or other IDs
com.afgame.app.poolball,"DeviceName,BuildNumber",Device or other IDs
com.agedstudio.card.solitaire.klondike,"DeviceName,BuildNumber,Surname,Name,MCC+MNC,Email,Android Serial Number,IMEI","Device or other IDs,Personal info,Emails"
com.agedstudio.card.spider.solitaire,"DeviceName,BuildNumber,Surname,Name,MCC+MNC,Email,Android Serial Number,IMEI","Device or other IDs,Personal info,Emails"
com.agent.action,"Surname,Name,Email","Personal info,Emails"
com.ahoygames.rummy,"Surname,Name,Email","Personal info,Emails"
com.aim.racing,"DeviceName,BuildNumber,Google_Services_Framework_ID",Device or other IDs
com.aim.stunts,"DeviceName,BuildNumber",Device or other IDs
com.airgoat.goat,"DeviceName,BuildNumber",Device or other IDs
com.aisense.otter,"DeviceName,BuildNumber,Email","Device or other IDs,Emails"
com.al.realdrive,"DeviceName,BuildNumber",Device or other IDs
com.alhiwar,"DeviceName,BuildNumber,Latitude,Longitude","Device or other IDs,Location"
com.alibaba.aliexpresshd,"DeviceName,BuildNumber",Device or other IDs
com.alibaba.intl.android.apps.poseidon,"BuildNumber,DeviceName",Device or other IDs
com.Alienforcegames.ChessFusionFree,"DeviceName,BuildNumber",Device or other IDs
com.alienshooter.galaxy.attack2,"BuildNumber,DeviceName",Device or other IDs
com.aliza.carfactory,"DeviceName,BuildNumber",Device or other IDs
com.aljazeera.mobile,"DeviceName,BuildNumber",Device or other IDs
com.alldocument.fileviewer.documentreader,"DeviceName,BuildNumber",Device or other IDs
com.alldocumentsreader.pdf.fileviewer,"DeviceName,BuildNumber",Device or other IDs
com.allegion.leopard,"DeviceName,BuildNumber",Device or other IDs
com.allenmm.archery,"DeviceName,BuildNumber",Device or other IDs
com.allfootball.news,"DeviceName,BuildNumber",Device or other IDs
com.AllInclusive.SquareSort,"DeviceName,BuildNumber",Device or other IDs
com.alltrails.alltrails,Email,Emails
com.aloha.browser,"DeviceName,BuildNumber",Device or other IDs
com.alpg.bingo,"Surname,Name,Email","Personal info,Emails"
com.alrabiaa.tv,"DeviceName,BuildNumber",Device or other IDs
com.alrabiaatv.app,"DeviceName,BuildNumber",Device or other IDs
com.amanotes.db,"Surname,Name,Email","Personal info,Emails"
com.amanotes.gs.g02,"DeviceName,BuildNumber,Surname,Google_Services_Framework_ID,Name,Email","Device or other IDs,Personal info,Emails"
com.amayasoft.dinosaur.games.little.kids.toddlers,"DeviceName,BuildNumber",Device or other IDs
com.amazon.dee.app,"DeviceName,BuildNumber",Device or other IDs
com.amazon.storm.lightning.client.aosp,"DeviceName,BuildNumber",Device or other IDs
com.amila.parenting,"Surname,Name,Email","Personal info,Emails"
com.amour.chicme,"DeviceName,BuildNumber",Device or other IDs
com.amrita.emperor,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.amrita.producer,"DeviceName,BuildNumber",Device or other IDs
com.AnatomyLearning.Anatomy3DViewer3,"DeviceName,BuildNumber",Device or other IDs
com.andiqwer.skyblock_maps,"DeviceName,BuildNumber",Device or other IDs
com.android.chrome,"DeviceName,BuildNumber,Surname,Google_Services_Framework_ID,Name,Email","Device or other IDs,Personal info,Emails"
com.andromo.dev759880.app845507,"DeviceName,BuildNumber,MCC+MNC",Device or other IDs
com.andrwq.recorder,"DeviceName,BuildNumber",Device or other IDs
com.anghami,"Surname,Name,DeviceName,Email,BuildNumber,Google_Services_Framework_ID","Personal info,Device or other IDs,Emails"
