Package Name,Functions,Data Safety Labels
aceviral.dragoncraft,"android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.os.PowerManager.getCurrentThermalStatus,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkOperator,android.app.ActivityManager.getRunningAppProcesses,android.app.ActivityManager.getRunningTasks,java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso","App info and performance,Diagnostics,Other app performance data,Device or other IDs,App activity,Personal info"
ae.propertyfinder.propertyfinder,"android.telephony.TelephonyManager.getNetworkOperator,android.location.LocationManager.requestLocationUpdates,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,android.app.ActivityManager.getRunningAppProcesses","Device or other IDs,Precise location,App info and performance,Diagnostics,App activity"
ai.replika.app,"android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName","App info and performance,Personal info"
air.bg.lan.Monopoli,"android.os.Debug.getMemoryInfo,java.io.File.getFreeSpace,android.app.ActivityManager.getRunningAppProcesses,java.io.File.getTotalSpace,android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningTasks,android.location.LocationManager.getLastKnownLocation,android.telephony.TelephonyManager.getNetworkOperator","Diagnostics,Other app performance data,App activity,Location,Precise location,Approximate location,Device or other IDs"
air.br.com.domino.mobile,android.telephony.TelephonyManager.getLine1Number,Phone number
air.com.aceviral.motox3m,"android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getLine1Number","App info and performance,Personal info,Phone number"
air.com.darkdome.nowhere.house,"android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkCountryIso","App info and performance,Diagnostics,App activity,Device or other IDs,Personal info"
air.com.darkdome.unwanted.experiment,"android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.PowerManager.getCurrentThermalStatus","Device or other IDs,App info and performance,App activity,Personal info,Diagnostics"
air.com.games2win.internationalfashionstylist,java.io.File.getUsableSpace,Other app performance data
air.com.KalromSystems.SandDrawLite,"android.os.StrictMode.getThreadPolicy,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperator","App info and performance,Diagnostics,Personal info,Device or other IDs"
air.com.sgn.cookiejam.gp,android.os.PowerManager.getCurrentThermalStatus,Diagnostics
air.com.starfall.more,android.os.StrictMode.getThreadPolicy,App info and performance
air.com.tutotoons.app.sweetbabygirlsummerfun2.free,"android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getThreadPolicy,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.net.wifi.WifiInfo.getSSID","App activity,App info and performance,Diagnostics,Personal info,Device or other IDs"
air.com.wizits.buddies,android.telephony.TelephonyManager.getLine1Number,Phone number
alpha.sticker.maker,"android.os.StrictMode.getThreadPolicy,java.io.File.getTotalSpace,java.io.File.getFreeSpace,android.app.ActivityManager.getRunningAppProcesses,android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningTasks,android.os.StrictMode.getVmPolicy","App info and performance,Other app performance data,App activity,Diagnostics"
altergames.carlauncher,"android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.bluetooth.BluetoothAdapter.getBondedDevices,android.location.LocationManager.requestLocationUpdates,android.location.LocationManager.registerGnssStatusCallback,android.app.ActivityManager.getRunningAppProcesses","App info and performance,Device or other IDs,Location,Precise location,Approximate location,App activity"
amonguslock.amonguslockscreen.amonglock,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso,android.app.ActivityManager.getRunningAppProcesses","Personal info,App activity"
and.dinlygo.tilepair3d,"android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getFreeSpace,java.io.File.getTotalSpace,android.os.StrictMode.getThreadPolicy,android.os.PowerManager.getCurrentThermalStatus,android.net.wifi.WifiInfo.getSSID,android.telephony.TelephonyManager.getNetworkCountryIso","App info and performance,Device or other IDs,Personal info,Other app performance data,Diagnostics"
and.lihuhu.machingtriple,"android.net.wifi.WifiInfo.getSSID,java.io.File.getTotalSpace,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.os.BatteryManager.getIntProperty,android.telephony.TelephonyManager.getNetworkCountryIso,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus,java.io.File.getFreeSpace","Device or other IDs,App info and performance,Other app performance data,Diagnostics,Personal info,App activity"
and.lihuhu.mahjongtriple3d,"java.io.File.getFreeSpace,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName,android.app.ActivityManager.getRunningAppProcesses,android.net.wifi.WifiInfo.getSSID,android.os.StrictMode.getVmPolicy,java.io.File.getTotalSpace,android.os.PowerManager.getCurrentThermalStatus","App info and performance,Other app performance data,Personal info,Device or other IDs,App activity,Diagnostics"
and.lihuhu.matchpair3d,"java.io.File.getFreeSpace,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.net.wifi.WifiInfo.getSSID,java.io.File.getTotalSpace,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkCountryIso","App info and performance,Other app performance data,Personal info,Device or other IDs,Diagnostics"
