Package Name,PIIS,Data Safety Labels
ae.propertyfinder.propertyfinder,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
ai.replika.app,"DeviceName,BuildNumber,Google_Services_Framework_ID,AdvertisingID",Device or other IDs
air.au.com.metro.DumbWaysToDie2,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
air.com.darkdome.unwanted.experiment,"DeviceName,BuildNumber",Device or other IDs
air.com.games2win.internationalfashionstylist,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
air.com.neon.games.WBT,"DeviceName,BuildNumber",Device or other IDs
air.com.readysquare.sckeys,"DeviceName,BuildNumber",Device or other IDs
air.com.sgn.cookiejam.gp,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
air.com.wizits.buddies,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
all.in.one.calculator,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
app.feelsy,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
app.kids360.parent,"AdvertisingID,MCC+MNC,DeviceName,BuildNumber",Device or other IDs
app.play.playform,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
app.sweepy.sweepy,"Email,Surname,Name","Emails,Personal info"
armworkout.armworkoutformen.armexercises,"DeviceName,BuildNumber",Device or other IDs
arproductions.andrew.worklog,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
at.nk.tools.iTranslate,"DeviceName,AdvertisingID,BuildNumber",Device or other IDs
au.com.shiftyjelly.pocketcasts,DeviceName,Device or other IDs
audio.sound.effect.bass.virtrualizer.equalizer,"DeviceName,BuildNumber",Device or other IDs
audio.volume.bass.booster.equalizer,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
audioeditor.musiceditor.soundeditor.songeditor,"DeviceName,BuildNumber",Device or other IDs
ball.sort.puzzle.color.sorting.bubble.games,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
bath.coupons.forbodyworks,"DeviceName,BuildNumber",Device or other IDs
bcom.rrdianshiase.table,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
beatmaker.edm.musicgames.gunsounds,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
beatmaker.edm.musicgames.musicninja,"DeviceName,BuildNumber",Device or other IDs
beatmaker.edm.musicgames.PianoGames,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
beauty.selfiecamera.beautycam.youbeautymakeup,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
beetles.puzzle.solitaire,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
best.photo.app.manhairstyles2018,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
best.photo.app.mermaid,"DeviceName,BuildNumber",Device or other IDs
billiards.shooting.ball.games,"DeviceName,BuildNumber,MCC+MNC,AdvertisingID",Device or other IDs
block.puzzle.sudoku.free.game.classic.offline,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
blockpuzzle.game.block.puzzle,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
blockpuzzle.new1010.jewelgames.puzzlegames,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
bloodpressure.bloodpressureapppro.bloodpressureapp,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
bloodpressuremonitor.bloodpressureapp.bpmonitor,"DeviceName,BuildNumber",Device or other IDs
bodyfast.zero.fastingtracker.weightloss,"DeviceName,BuildNumber",Device or other IDs
bp.free.puzzle.game.mahjong.onet,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
