Package Name,Functions,Data Safety Labels
aceviral.dragoncraft,"android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkCountryIso","App info and performance,Diagnostics,Personal info"
ae.propertyfinder.propertyfinder,"android.app.ActivityManager.getRunningAppProcesses,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,android.location.LocationManager.requestLocationUpdates,android.telephony.TelephonyManager.getNetworkOperator","App activity,App info and performance,Diagnostics,Precise location,Device or other IDs"
ai.replika.app,"android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy","Personal info,App info and performance"
air.au.com.metro.DumbWaysToDie2,android.telephony.TelephonyManager.getNetworkOperatorName,Personal info
air.bg.lan.Monopoli,"android.app.ActivityManager.getRunningTasks,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperator,java.io.File.getFreeSpace,android.os.Debug.getMemoryInfo,java.io.File.getTotalSpace,android.location.LocationManager.getLastKnownLocation,android.os.PowerManager.getCurrentThermalStatus","App activity,Device or other IDs,Other app performance data,Diagnostics,Location,Precise location,Approximate location"
air.br.com.domino.mobile,"java.io.File.getFreeSpace,android.telephony.TelephonyManager.getLine1Number,java.io.File.getTotalSpace","Other app performance data,Phone number"
air.com.aceviral.motox3m,"android.telephony.TelephonyManager.getLine1Number,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy","Personal info,Phone number,App info and performance"
air.com.darkdome.nowhere.house,"android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso","Device or other IDs,App info and performance,App activity,Diagnostics,Personal info"
air.com.darkdome.unwanted.experiment,"android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.app.ActivityManager.getRunningAppProcesses","Personal info,App info and performance,Diagnostics,Device or other IDs,App activity"
air.com.games2win.internationalfashionstylist,java.io.File.getUsableSpace,Other app performance data
air.com.jogatina.domino.android,"java.io.File.getFreeSpace,java.io.File.getTotalSpace",Other app performance data
air.com.KalromSystems.SandDrawLite,"android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus","Device or other IDs,App info and performance,Diagnostics"
air.com.neon.games.WBT,"android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy","Personal info,App info and performance"
air.com.readysquare.sckeys,"android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningTasks,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.PowerManager.getCurrentThermalStatus","App info and performance,Device or other IDs,App activity,Personal info,Diagnostics"
air.com.sgn.cookiejam.gp,android.os.PowerManager.getCurrentThermalStatus,Diagnostics
air.com.starfall.more,android.os.StrictMode.getThreadPolicy,App info and performance
air.com.tutotoons.app.sweetbabygirlsummerfun2.free,"android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus,android.net.wifi.WifiInfo.getSSID,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkCountryIso","App activity,Personal info,App info and performance,Diagnostics,Device or other IDs"
