Package Name,Functions,Data Safety Labels
ae.propertyfinder.propertyfinder,"android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.location.LocationManager.requestLocationUpdates,android.os.PowerManager.getCurrentThermalStatus","App info and performance,App activity,Precise location,Diagnostics"
ai.replika.app,"android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getThreadPolicy","Personal info,App info and performance"
air.bg.lan.Monopoli,"android.os.PowerManager.getCurrentThermalStatus,android.location.LocationManager.getLastKnownLocation,android.os.Debug.getMemoryInfo,android.telephony.TelephonyManager.getNetworkOperator,java.io.File.getTotalSpace,android.app.ActivityManager.getRunningTasks,java.io.File.getFreeSpace,android.app.ActivityManager.getRunningAppProcesses","Diagnostics,Location,Precise location,Approximate location,Device or other IDs,Other app performance data,App activity"
air.br.com.domino.mobile,android.telephony.TelephonyManager.getLine1Number,Phone number
air.com.aceviral.motox3m,"android.telephony.TelephonyManager.getLine1Number,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy","Personal info,Phone number,App info and performance"
air.com.darkdome.nowhere.house,"android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getVmPolicy,android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getThreadPolicy","App info and performance,Diagnostics,Device or other IDs,Personal info,App activity"
air.com.darkdome.unwanted.experiment,"android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkCountryIso,android.app.ActivityManager.getRunningAppProcesses","App info and performance,Diagnostics,Device or other IDs,Personal info,App activity"
air.com.games2win.internationalfashionstylist,java.io.File.getUsableSpace,Other app performance data
air.com.jogatina.domino.android,"java.io.File.getFreeSpace,java.io.File.getTotalSpace",Other app performance data
air.com.KalromSystems.SandDrawLite,"android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.PowerManager.getCurrentThermalStatus","Device or other IDs,App info and performance,Personal info,Diagnostics"
